Label Name;BBox_left;BBox_top;BBox_right;BBox_bottom;Distance
004443.txt;270.92;180.48;437.5;290.97;12.46
000710.txt;380.63;188.4;463.01;258.09;17.6
000710.txt;532.31;181.4;557.03;200.98;62.92
000312.txt;233.68;217.17;431.03;339.14;10.49
000312.txt;379.56;194.15;490.29;279.0;16.63
000312.txt;611.12;189.23;649.32;224.8;32.32
007359.txt;0.0;201.24;303.83;369.0;3.35
007359.txt;505.87;168.98;627.97;212.19;26.66
007359.txt;354.56;174.43;397.22;199.39;49.02
006786.txt;578.52;170.52;607.73;199.39;43.47
004801.txt;629.77;177.2;657.82;200.29;45.21
004801.txt;656.7;176.04;705.52;212.96;31.67
004801.txt;746.17;167.94;915.51;287.14;12.32
004801.txt;989.22;203.28;1241.0;374.0;3.84
004801.txt;863.73;176.71;942.0;206.81;37.39
001566.txt;476.27;176.53;556.88;216.73;27.15
004201.txt;294.97;192.86;476.61;305.16;11.92
004067.txt;0.0;187.39;199.31;315.97;12.04
004067.txt;254.45;187.93;370.86;244.71;21.42
004067.txt;359.25;176.71;433.9;226.48;28.24
004067.txt;408.99;184.84;461.28;218.65;33.3
004067.txt;434.9;178.87;488.5;214.3;38.15
004067.txt;486.21;181.06;524.03;205.49;47.73
003637.txt;0.0;194.18;93.89;232.7;29.47
003637.txt;69.66;189.96;153.65;225.2;34.12
004222.txt;0.0;202.16;232.97;374.0;5.45
004222.txt;437.69;182.73;527.12;231.19;23.83
004222.txt;690.23;176.31;747.52;222.79;25.67
004222.txt;645.46;171.13;678.74;191.67;64.28
000145.txt;960.87;180.9;1069.16;229.09;23.96
000145.txt;1034.19;183.18;1155.16;229.33;23.86
000145.txt;1097.59;183.53;1223.0;230.26;24.48
000145.txt;601.61;171.69;637.7;199.9;37.7
002445.txt;953.93;165.44;1241.0;374.0;5.7
002445.txt;917.88;181.82;1229.36;281.3;11.11
002445.txt;882.41;180.78;1170.94;261.5;13.34
006939.txt;633.53;175.69;658.37;196.71;50.77
006939.txt;675.49;181.45;745.38;232.84;21.29
006939.txt;791.91;183.62;1079.51;346.4;8.78
006939.txt;739.58;176.24;800.17;210.71;32.5
000531.txt;253.94;187.21;409.48;263.18;16.91
000531.txt;111.11;165.36;302.2;263.49;17.37
000531.txt;502.21;173.05;570.88;221.75;23.27
000531.txt;851.31;173.45;1004.61;248.3;16.93
000531.txt;675.33;164.04;716.83;202.85;34.08
000531.txt;938.56;163.43;1109.63;242.89;17.24
000531.txt;1047.29;174.4;1241.0;243.93;16.7
000531.txt;0.0;192.28;112.47;260.5;17.95
005042.txt;459.23;184.06;529.59;204.92;49.59
003778.txt;438.39;177.3;523.86;246.29;19.31
003778.txt;708.84;175.53;809.97;254.03;15.7
003778.txt;673.76;177.38;752.76;237.51;20.3
003778.txt;645.83;175.31;685.42;208.93;33.5
003778.txt;756.66;179.8;986.81;327.97;9.47
003215.txt;608.05;174.91;678.17;215.95;27.21
003215.txt;365.46;172.37;476.07;242.44;16.76
003215.txt;480.23;172.22;541.0;213.37;27.13
003215.txt;501.39;165.15;554.28;208.35;31.51
003215.txt;528.62;171.0;562.03;198.17;40.28
007425.txt;534.7;181.28;566.63;201.42;51.93
007425.txt;431.59;182.77;506.68;208.14;46.75
005128.txt;0.0;183.38;367.74;374.0;5.27
005128.txt;805.09;199.02;1241.0;374.0;5.29
005128.txt;685.45;189.38;796.62;267.86;15.77
005128.txt;409.23;187.34;507.93;260.39;16.36
005128.txt;667.33;184.89;736.59;236.16;21.76
005128.txt;655.92;182.04;712.56;224.43;26.46
003645.txt;592.54;174.31;618.45;199.26;50.14
003645.txt;347.86;184.18;386.27;203.54;54.03
006954.txt;589.92;177.15;616.91;203.85;46.89
006954.txt;333.89;181.67;405.28;228.51;28.18
006954.txt;550.17;178.22;573.16;200.5;55.06
002929.txt;0.0;170.99;239.8;353.84;7.59
002929.txt;925.98;142.24;1079.11;221.74;21.07
002929.txt;1009.66;159.44;1143.09;214.06;21.83
002929.txt;92.45;182.29;377.56;276.29;12.5
002929.txt;192.28;176.72;390.82;254.07;15.26
002929.txt;230.79;163.68;446.21;241.19;17.53
002929.txt;359.4;166.52;495.59;221.52;23.86
002929.txt;376.9;175.68;505.49;217.29;25.89
002929.txt;659.5;162.94;742.75;192.9;37.59
005897.txt;0.0;209.57;211.05;374.0;3.06
005897.txt;0.0;194.35;209.03;317.15;10.22
005897.txt;274.32;180.11;496.47;330.07;9.35
005897.txt;480.2;174.97;503.25;195.79;60.9
001098.txt;563.63;174.29;618.67;227.47;23.73
006319.txt;0.0;160.62;163.14;374.0;3.84
006319.txt;203.31;196.56;389.27;305.54;12.42
006319.txt;359.2;186.58;451.4;249.44;21.39
002500.txt;676.2;184.57;762.41;243.11;19.98
005038.txt;0.0;151.45;298.79;341.6;7.76
005038.txt;0.0;176.13;325.46;295.68;10.15
005038.txt;710.12;178.92;844.16;270.57;13.47
005038.txt;332.97;176.99;451.79;229.24;23.0
005038.txt;365.95;171.67;493.43;222.05;25.53
005038.txt;639.03;177.72;672.25;203.83;41.57
006263.txt;118.13;200.07;327.37;310.69;11.73
006263.txt;699.66;174.85;820.16;257.4;15.27
006263.txt;295.07;192.88;418.59;260.65;17.39
006263.txt;404.39;178.97;478.32;232.65;25.63
006263.txt;445.38;182.16;500.58;221.15;32.28
006263.txt;637.12;176.03;657.9;194.08;64.57
000850.txt;571.1;174.91;616.46;216.26;30.03
000850.txt;160.5;191.46;296.35;256.78;16.84
000850.txt;455.6;172.15;516.43;219.13;29.63
000850.txt;497.58;179.31;534.0;205.68;41.79
005805.txt;652.14;183.67;683.48;208.32;44.47
002963.txt;569.71;177.7;608.23;212.83;35.03
002963.txt;0.0;203.83;326.13;375.0;6.0
002963.txt;0.0;191.63;164.06;309.94;10.7
002963.txt;0.0;187.23;162.51;258.63;16.92
002963.txt;340.47;182.8;417.15;227.03;26.47
002963.txt;204.56;180.25;297.86;226.79;25.08
002621.txt;644.54;170.88;709.02;233.45;19.61
002621.txt;0.0;204.66;387.88;374.0;7.3
002621.txt;446.93;180.87;531.65;234.19;22.32
005814.txt;568.82;179.12;622.73;231.3;24.1
005814.txt;386.58;187.02;460.64;241.47;24.35
005814.txt;514.37;182.89;542.99;203.92;54.54
005814.txt;1052.83;167.68;1170.28;206.8;27.48
001222.txt;1066.48;192.09;1241.0;374.0;4.76
001222.txt;960.08;152.49;1241.0;359.04;7.12
001222.txt;125.12;182.06;383.62;262.88;14.61
001222.txt;227.38;183.18;426.45;250.63;17.2
001222.txt;319.76;179.2;439.74;230.93;22.41
001222.txt;646.19;178.37;724.16;234.59;20.43
001222.txt;402.01;177.92;494.74;213.98;31.79
001222.txt;626.11;172.78;662.83;203.68;35.46
005452.txt;549.72;181.49;566.94;195.14;69.31
000690.txt;0.0;221.34;256.06;374.0;2.84
000690.txt;480.17;186.33;545.85;232.53;25.1
006937.txt;506.38;170.49;565.15;223.0;31.45
001247.txt;517.7;161.43;739.09;371.28;7.03
001247.txt;377.36;185.01;417.67;205.07;52.89
001247.txt;333.95;187.84;373.83;208.22;51.99
001247.txt;424.26;181.83;463.04;201.98;53.61
001247.txt;948.02;174.53;1086.29;218.64;27.59
001247.txt;267.91;187.59;371.85;221.34;34.41
007341.txt;0.0;180.43;54.85;230.24;23.27
007341.txt;129.29;189.59;411.66;346.48;9.08
007341.txt;233.78;177.74;289.69;206.28;41.85
007341.txt;278.33;176.33;333.39;202.16;46.85
007341.txt;538.8;177.49;567.15;198.85;50.4
007341.txt;477.77;172.09;537.0;222.0;27.31
007341.txt;587.37;174.19;625.13;211.8;33.69
004434.txt;618.95;171.31;669.82;222.34;23.75
004434.txt;0.0;207.88;242.44;374.0;4.05
004434.txt;356.23;190.41;479.29;266.62;15.79
004434.txt;482.31;177.21;537.67;214.46;31.07
004345.txt;559.18;183.63;603.73;214.44;37.89
006569.txt;563.35;184.28;616.9;227.37;23.44
006569.txt;507.15;180.17;550.25;212.2;33.13
006569.txt;242.02;178.44;316.6;219.06;31.3
006569.txt;352.36;181.9;388.27;204.26;48.15
002778.txt;641.74;176.41;672.17;201.2;43.3
002778.txt;700.24;183.96;801.16;254.71;16.05
002778.txt;913.42;190.42;1241.0;374.0;4.72
002778.txt;714.65;175.58;756.35;203.26;39.39
002778.txt;775.87;177.17;858.17;221.05;25.96
003668.txt;0.0;199.64;302.55;369.0;3.35
003668.txt;446.55;171.57;480.65;196.82;43.25
004774.txt;563.58;182.4;630.4;246.41;19.55
004774.txt;586.25;174.43;638.0;228.42;26.04
004774.txt;1001.11;191.93;1241.0;374.0;2.65
004774.txt;686.71;176.93;766.26;242.9;19.38
004774.txt;660.38;181.47;721.69;229.44;25.21
004774.txt;645.01;181.23;688.14;219.61;31.02
004774.txt;337.09;186.48;388.45;207.95;54.4
007009.txt;582.93;173.46;622.7;208.95;31.32
000765.txt;0.0;201.18;303.78;369.0;3.35
000765.txt;438.01;170.95;514.94;209.57;30.17
000765.txt;376.49;173.72;414.64;195.96;54.72
006576.txt;682.77;163.45;822.05;259.89;15.73
006576.txt;337.3;192.76;443.89;271.09;16.2
006576.txt;422.22;194.51;481.8;237.57;24.54
006576.txt;449.39;180.71;497.03;221.3;31.36
007337.txt;790.24;176.77;1214.84;374.0;6.18
007337.txt;611.23;181.23;690.77;234.06;20.99
007337.txt;550.12;175.32;626.79;208.2;36.25
007337.txt;678.41;172.9;762.31;209.64;32.54
007337.txt;743.14;172.15;817.62;204.45;35.47
007337.txt;811.04;172.46;866.44;199.53;38.3
007337.txt;848.54;165.76;912.68;197.04;41.47
001658.txt;587.06;170.1;613.88;196.61;47.18
001658.txt;0.0;195.43;115.01;307.29;9.75
001658.txt;362.92;181.1;426.85;217.52;31.04
001658.txt;454.29;174.94;482.96;198.4;54.12
001621.txt;234.5;183.4;319.43;236.39;22.88
001621.txt;150.92;183.3;225.4;241.09;22.64
007040.txt;610.88;190.05;627.97;205.93;69.97
003607.txt;688.47;178.03;970.49;270.68;13.06
003607.txt;0.0;178.03;125.33;253.52;16.16
002497.txt;301.26;182.54;435.95;270.01;15.52
002497.txt;450.53;181.61;508.79;218.35;31.69
002497.txt;635.11;175.21;661.72;197.09;52.42
002497.txt;701.48;171.88;855.37;286.67;12.03
001328.txt;116.87;189.54;209.67;221.62;34.2
001328.txt;159.9;191.13;233.32;217.38;36.99
002957.txt;407.64;185.08;525.05;276.99;14.48
002957.txt;705.65;188.96;895.88;324.0;10.37
002957.txt;695.57;180.41;795.77;259.8;15.92
002957.txt;519.95;184.71;562.91;223.19;29.73
002957.txt;649.91;179.95;698.23;221.92;30.27
002236.txt;398.0;182.41;507.18;271.33;15.94
002236.txt;499.91;186.29;550.33;231.02;26.64
002236.txt;545.63;179.78;591.81;208.44;41.4
004726.txt;440.86;182.22;471.47;199.95;66.48
006926.txt;587.2;182.58;658.23;240.75;18.96
006926.txt;0.0;170.18;112.88;262.92;13.2
006926.txt;288.0;172.05;458.22;262.81;14.45
006926.txt;335.23;179.59;486.33;244.08;17.57
006926.txt;378.78;179.77;517.76;233.59;20.68
006926.txt;456.67;178.92;543.18;220.37;28.06
006926.txt;504.66;177.05;569.0;202.57;41.39
006926.txt;694.91;182.75;767.38;230.27;23.05
006926.txt;677.92;172.13;733.65;215.07;30.42
006926.txt;589.4;178.68;629.92;215.66;31.73
006926.txt;249.77;173.52;333.37;208.06;33.22
000613.txt;154.96;148.61;234.07;206.2;29.75
000613.txt;219.66;163.88;294.22;205.4;32.28
000613.txt;287.18;162.83;371.71;197.93;33.99
000613.txt;518.93;162.8;574.84;189.97;42.39
000613.txt;564.89;160.18;623.36;188.45;44.96
000613.txt;597.2;167.04;659.94;188.81;49.65
000613.txt;636.75;166.15;682.33;187.98;50.47
000613.txt;656.99;167.02;708.62;187.46;51.6
000613.txt;680.88;164.93;740.11;186.01;52.84
000613.txt;747.7;162.45;800.34;181.7;59.06
000613.txt;771.62;163.96;817.18;181.43;60.9
002738.txt;231.62;172.73;288.43;199.86;43.53
002738.txt;283.7;170.89;330.42;195.83;51.3
002738.txt;325.88;172.23;359.43;192.19;58.39
002738.txt;584.91;171.04;640.0;225.97;23.79
006479.txt;400.6;180.54;479.0;211.19;35.47
006479.txt;427.17;173.51;494.2;202.84;40.84
003028.txt;1165.45;167.88;1221.09;196.56;47.87
002328.txt;634.09;174.76;664.46;199.19;46.85
002328.txt;680.52;170.79;755.93;230.59;22.6
002328.txt;744.86;184.33;881.48;274.01;13.22
002328.txt;923.54;181.58;1154.74;277.88;13.14
002328.txt;817.85;175.65;887.61;203.8;39.91
002199.txt;520.58;192.01;669.72;287.85;14.03
002199.txt;24.54;198.85;571.65;374.0;5.94
002199.txt;618.41;192.61;720.56;256.53;19.26
002199.txt;695.56;192.05;753.12;234.28;26.44
002199.txt;753.06;187.22;786.49;215.51;39.34
003646.txt;584.97;181.74;640.86;227.38;23.64
003646.txt;124.05;181.88;352.29;323.9;9.17
003646.txt;246.5;179.01;437.89;278.33;12.22
003646.txt;371.91;178.83;507.3;234.03;19.86
003646.txt;410.91;175.95;517.7;225.74;22.82
003646.txt;448.96;179.23;534.48;214.79;30.53
003646.txt;847.15;157.01;1241.0;374.0;7.57
003646.txt;864.16;174.53;1040.97;242.42;19.67
003646.txt;591.61;177.54;626.22;209.11;36.84
003646.txt;0.0;179.71;82.1;294.63;8.84
003646.txt;41.2;183.99;240.89;274.89;13.08
003646.txt;215.95;168.67;306.43;210.28;29.88
006814.txt;0.0;213.52;245.02;374.0;2.23
006814.txt;245.43;193.36;472.29;354.42;9.02
006814.txt;780.49;151.07;1241.0;343.02;7.08
006814.txt;708.51;168.19;987.24;262.33;13.01
006814.txt;161.42;199.42;354.1;312.71;12.27
006814.txt;648.11;165.79;798.08;227.82;20.94
006814.txt;632.62;175.7;668.01;206.88;38.3
002336.txt;577.56;168.44;606.86;191.65;41.38
002336.txt;543.5;167.24;570.36;188.08;49.93
002118.txt;405.86;166.46;460.15;212.28;26.35
002118.txt;465.89;154.16;494.23;170.48;71.52
003806.txt;719.21;153.71;868.59;206.7;25.04
003806.txt;1139.04;138.53;1241.0;180.15;28.58
003806.txt;1224.91;135.15;1241.0;182.23;24.6
003806.txt;1002.56;146.75;1099.66;176.65;38.49
003806.txt;979.16;148.61;1073.15;176.8;40.97
003806.txt;503.93;174.7;547.67;209.87;34.82
003806.txt;578.13;170.63;607.53;193.81;54.08
003806.txt;760.76;151.62;847.45;184.86;43.26
003806.txt;879.97;150.23;922.42;176.36;52.4
003806.txt;911.78;151.41;959.73;175.38;52.65
003806.txt;663.41;167.68;694.87;189.3;52.74
000536.txt;552.14;170.62;713.78;326.37;9.31
000536.txt;440.13;177.72;473.07;197.77;55.89
002535.txt;534.73;182.55;555.65;201.51;58.38
002535.txt;244.2;178.6;297.63;206.96;46.02
002535.txt;285.42;182.4;331.32;204.73;52.32
002535.txt;967.87;193.41;1055.78;224.9;41.06
002535.txt;326.31;181.87;363.15;202.03;57.67
002535.txt;549.41;180.79;569.16;196.84;66.46
002535.txt;562.21;179.83;615.34;232.77;24.59
002535.txt;183.81;183.61;250.63;212.3;39.64
002535.txt;1053.93;194.99;1126.42;224.11;41.69
003776.txt;561.73;174.24;619.59;230.15;22.66
001432.txt;650.77;187.15;702.31;227.15;28.63
005992.txt;562.21;181.43;599.83;214.42;33.67
005992.txt;1165.52;179.13;1241.0;374.0;3.37
005992.txt;802.67;172.04;1153.79;282.98;10.94
005992.txt;981.68;162.02;1241.0;374.0;5.84
005992.txt;502.24;174.64;538.1;199.72;43.47
007208.txt;63.33;182.67;376.63;299.37;10.37
007208.txt;738.35;186.27;865.85;275.62;13.57
007208.txt;251.08;183.71;446.92;247.86;17.19
007208.txt;356.13;180.29;484.01;229.74;22.66
007208.txt;385.49;182.25;517.37;228.16;24.86
007208.txt;398.28;179.61;515.76;221.84;27.32
007208.txt;711.8;178.47;800.0;248.53;18.58
007208.txt;681.05;184.48;727.05;218.46;31.98
007208.txt;448.64;182.14;537.84;219.87;29.78
001754.txt;0.0;189.88;221.93;374.0;5.24
001754.txt;83.11;160.09;377.66;331.18;9.62
001754.txt;345.57;183.21;450.56;248.76;18.19
001754.txt;413.98;175.54;480.44;222.92;27.11
002648.txt;749.26;183.75;771.02;201.62;63.74
002648.txt;655.02;180.15;688.7;206.78;48.51
006646.txt;0.0;202.75;288.99;374.0;4.3
006646.txt;0.0;202.54;243.1;311.98;11.47
006646.txt;317.49;185.75;505.47;316.44;10.62
006646.txt;478.34;174.48;501.07;194.88;62.07
000125.txt;518.63;165.68;740.8;374.0;7.01
000125.txt;207.64;191.87;314.06;224.57;34.57
000125.txt;376.83;185.26;418.16;205.23;53.18
000125.txt;62.38;201.43;144.37;232.69;37.65
000125.txt;327.61;183.69;399.92;214.87;38.47
000125.txt;335.04;187.99;374.41;208.15;52.57
000125.txt;425.88;181.46;464.31;201.44;53.93
003487.txt;301.19;152.65;512.89;299.18;11.19
003487.txt;371.81;150.19;473.02;231.73;21.1
005871.txt;689.55;185.3;720.4;210.89;46.49
005871.txt;3.11;196.35;287.74;329.4;10.85
005871.txt;227.96;176.3;398.6;280.92;15.42
005871.txt;718.5;185.49;806.6;252.84;19.33
005871.txt;640.53;186.68;675.43;210.52;49.51
005871.txt;721.09;172.29;775.95;239.52;24.05
005541.txt;0.0;162.46;116.86;352.33;8.03
005541.txt;326.43;178.2;440.51;221.96;26.62
005541.txt;857.13;161.17;880.64;180.9;58.11
006911.txt;200.54;188.12;336.91;234.67;23.91
006911.txt;431.09;178.83;513.96;214.18;32.73
006911.txt;485.13;178.18;539.33;203.09;45.62
006911.txt;592.52;175.36;627.97;196.79;60.56
006911.txt;569.84;178.46;623.67;204.84;43.07
006911.txt;737.76;176.63;763.11;192.16;68.98
005661.txt;562.61;180.83;620.98;228.38;22.71
005661.txt;0.0;221.93;397.78;374.0;3.73
005661.txt;266.89;190.47;476.93;343.72;9.04
005661.txt;385.71;191.24;508.19;277.78;13.88
005661.txt;254.06;189.97;400.49;261.64;15.68
005661.txt;523.7;179.56;560.97;206.75;36.8
005661.txt;820.48;213.61;1241.0;374.0;4.14
005661.txt;723.5;178.08;904.26;312.24;10.16
005661.txt;635.07;181.63;686.54;219.88;28.24
005661.txt;150.4;182.35;253.06;220.85;27.88
005661.txt;573.26;176.59;610.12;210.04;34.91
005661.txt;0.0;189.12;79.14;247.42;18.08
006304.txt;543.04;181.01;565.97;195.9;69.45
006304.txt;443.05;182.57;507.99;204.62;53.69
007007.txt;518.6;165.56;740.75;374.0;7.01
007007.txt;77.32;199.13;178.95;230.33;36.6
007007.txt;377.09;185.2;418.3;205.16;53.18
007007.txt;0.0;207.8;35.01;237.36;40.12
007007.txt;225.24;190.59;296.89;220.66;40.16
007007.txt;335.13;187.99;374.49;208.15;52.57
007007.txt;425.69;181.24;464.15;201.23;53.87
000250.txt;26.43;196.96;252.9;345.96;9.45
000250.txt;341.7;192.77;383.53;224.69;35.04
000250.txt;231.91;194.75;338.29;272.86;16.05
003319.txt;714.67;175.65;915.92;313.38;10.06
003319.txt;0.0;195.92;385.74;374.0;5.05
003319.txt;648.75;178.4;696.09;218.09;27.02
005875.txt;470.47;175.29;527.4;209.79;31.75
006906.txt;0.0;194.83;131.36;270.37;16.94
006906.txt;389.17;182.56;435.23;210.68;50.36
005340.txt;633.46;178.01;676.43;215.8;28.22
005340.txt;580.14;170.49;624.38;205.66;35.46
005340.txt;649.93;170.89;682.87;201.63;38.53
005340.txt;959.15;152.38;1072.5;190.96;28.93
005340.txt;917.34;154.2;1014.56;190.49;32.14
002418.txt;336.95;189.88;453.12;255.43;19.47
002418.txt;482.32;185.14;533.88;214.6;38.2
002418.txt;639.27;178.14;674.43;207.0;40.19
005316.txt;221.83;183.54;302.47;223.76;28.89
005316.txt;168.24;186.13;265.38;223.54;30.95
005316.txt;358.38;177.91;407.91;205.21;44.59
005316.txt;325.74;178.02;375.41;204.85;46.73
005316.txt;443.7;177.62;473.29;195.29;67.17
006864.txt;0.0;178.72;88.87;374.0;5.08
006864.txt;968.89;149.93;1159.5;242.18;18.48
006864.txt;1064.85;170.34;1229.31;233.19;19.21
006864.txt;0.0;191.3;328.77;312.29;9.96
006864.txt;107.15;186.92;352.68;281.51;12.76
006864.txt;168.55;170.27;424.4;261.4;15.04
006864.txt;329.91;171.88;484.14;233.78;21.23
006864.txt;350.71;181.81;494.54;228.47;23.27
006864.txt;249.6;178.29;438.45;242.69;18.17
006864.txt;666.54;171.87;756.45;204.01;35.01
000479.txt;589.93;174.78;612.54;196.55;57.25
000479.txt;137.13;189.29;249.89;241.12;24.92
000479.txt;364.97;181.32;408.12;204.97;48.98
004578.txt;184.39;192.28;399.17;312.34;11.16
004578.txt;878.0;189.7;1241.0;374.0;6.21
004578.txt;347.4;186.45;467.98;258.01;16.77
004578.txt;770.39;182.17;942.62;291.18;11.78
004578.txt;413.76;184.86;504.74;236.25;22.19
004578.txt;719.64;177.82;830.28;251.09;17.0
004578.txt;515.5;178.99;554.61;208.09;38.02
004578.txt;703.52;177.24;776.0;231.42;22.03
004578.txt;695.79;175.88;749.41;218.58;27.51
004515.txt;0.0;184.21;111.33;231.74;25.74
004515.txt;9.8;195.31;402.11;374.0;7.87
004515.txt;525.2;178.01;560.12;206.42;42.57
004515.txt;557.74;180.66;577.53;198.62;63.79
004515.txt;588.75;179.07;634.33;224.47;28.29
005299.txt;597.07;174.88;625.06;201.83;46.53
001045.txt;560.18;179.24;617.82;225.04;23.45
001045.txt;90.7;174.19;370.46;294.19;11.31
001045.txt;352.37;178.09;478.66;228.2;22.71
001045.txt;393.5;179.62;497.27;220.82;25.77
001045.txt;515.95;179.71;564.03;210.72;31.32
001045.txt;580.59;174.91;619.62;210.53;32.87
000418.txt;346.76;179.17;450.91;218.5;28.94
000418.txt;432.32;169.64;509.34;202.71;43.29
000418.txt;493.07;174.58;538.68;193.07;61.79
001793.txt;475.76;183.59;549.41;232.12;24.78
000605.txt;413.12;184.79;514.79;258.54;16.39
000605.txt;546.7;178.78;574.55;203.21;48.03
000605.txt;316.7;176.5;358.1;203.46;53.93
000605.txt;592.82;176.8;633.63;217.44;31.35
006321.txt;134.7;195.34;227.84;224.79;40.1
000823.txt;718.69;162.89;842.01;261.12;15.2
000823.txt;670.87;173.01;721.99;215.93;30.88
000823.txt;527.58;182.73;567.14;215.45;36.66
000823.txt;577.17;176.74;613.32;203.07;47.42
005473.txt;300.6;181.15;359.35;212.98;35.81
005473.txt;251.63;183.63;323.56;213.7;37.62
005473.txt;393.88;179.9;435.31;203.37;51.52
005473.txt;364.07;178.18;405.04;201.5;53.47
005513.txt;368.53;178.18;405.14;198.2;59.44
006317.txt;260.07;175.08;390.28;230.79;22.08
006317.txt;688.6;164.77;742.24;203.58;35.75
006317.txt;542.45;175.67;573.88;205.91;36.96
001276.txt;683.39;181.64;713.66;206.96;46.51
001276.txt;237.86;193.29;394.18;275.65;16.21
001276.txt;351.23;178.2;462.34;252.35;20.91
001276.txt;709.69;180.08;775.17;231.0;24.56
001276.txt;666.05;181.55;694.49;200.38;61.35
001276.txt;715.04;167.8;755.71;222.16;29.29
004321.txt;0.0;131.53;429.74;373.0;5.68
004321.txt;372.93;149.33;473.49;230.52;21.18
007116.txt;665.5;178.11;710.91;214.02;30.4
007116.txt;793.63;193.67;1076.97;361.98;7.92
007116.txt;768.82;177.6;832.18;217.19;28.03
007116.txt;880.72;181.09;1057.99;258.24;15.66
006340.txt;152.45;187.72;254.92;230.11;28.33
006340.txt;303.56;185.42;358.33;211.27;41.35
001103.txt;0.0;191.0;84.9;268.0;18.96
001103.txt;40.85;201.54;132.76;250.74;25.39
001103.txt;621.63;184.15;674.36;216.92;35.17
000279.txt;529.35;175.77;586.32;220.96;25.88
000279.txt;561.38;166.68;611.43;202.09;37.12
000279.txt;603.29;167.56;648.34;191.98;47.96
000279.txt;136.02;173.18;416.2;263.58;12.99
001653.txt;704.47;187.11;736.57;215.37;39.74
003396.txt;553.93;174.26;627.35;241.21;19.29
003396.txt;317.36;193.14;485.77;293.88;12.12
003396.txt;426.26;180.79;519.35;244.05;18.89
003396.txt;288.62;177.1;390.42;234.96;21.4
003396.txt;478.1;173.56;540.03;223.62;25.77
003396.txt;404.64;174.99;459.62;213.34;33.35
003396.txt;514.26;175.45;557.08;211.34;35.34
004484.txt;0.0;191.26;134.09;325.19;10.24
004484.txt;220.79;188.64;346.97;252.74;19.9
004484.txt;314.01;186.66;400.83;234.34;25.15
004484.txt;453.15;179.29;495.56;206.75;44.99
003179.txt;586.31;178.53;612.43;204.35;48.4
003179.txt;472.74;181.54;501.39;203.41;57.86
002871.txt;90.68;195.63;303.59;302.18;12.45
002871.txt;619.11;177.92;649.06;199.78;53.45
002871.txt;491.11;182.61;532.41;208.52;46.01
002871.txt;513.18;173.15;550.66;202.0;50.69
002871.txt;660.99;176.71;684.81;198.71;54.35
