Type;BBox_left;BBox_top;BBox_right;BBox_bottom;Distance;Label Name;Average Depth;Depth Variance;Depth Median;Depth Mode;Depth Range;Depth Percentile
Car;953.93;165.44;1241.0;374.0;5.7;002445.txt;107.31453515417331;10003.763333386389;134.0;255.0;255.0;179.0
Car;917.88;181.82;1229.36;281.3;11.11;002445.txt;109.7791266025641;9871.909428083332;127.5;255.0;255.0;179.0
Car;882.41;180.78;1170.94;261.5;13.34;002445.txt;114.4538215877915;9622.667899275784;130.5;255.0;255.0;179.0
Car;400.58;191.83;441.15;230.23;34.09;001001.txt;163.7614133833646;5635.126003255631;190.0;255.0;222.0;155.5
Car;390.06;192.98;429.51;230.07;35.35;005851.txt;165.70006747638325;5562.512267201924;198.0;255.0;222.0;155.5
Car;0.0;220.83;288.01;374.0;1.97;005851.txt;108.87729978354979;9977.050849238412;123.0;255.0;255.0;179.0
Car;530.42;186.1;927.71;329.15;8.92;004231.txt;115.85312923851967;9402.015956942643;143.0;255.0;255.0;186.25
Car;1091.87;191.05;1241.0;363.5;6.77;004231.txt;107.76236434108527;10011.952017665706;125.5;255.0;255.0;179.0
Car;534.9;186.36;567.67;220.11;38.99;002374.txt;166.3393493761141;5659.309752874372;197.0;255.0;219.0;155.5
Car;504.53;187.58;530.61;205.8;62.49;002374.txt;183.80235042735043;7284.344481654979;223.5;255.0;219.0;149.25
Car;533.4;172.66;566.78;205.81;45.62;002766.txt;171.722681359045;5474.280302819497;218.0;255.0;219.0;155.5
Car;558.53;175.33;577.46;193.62;69.73;002766.txt;180.85891812865498;6820.232288888034;223.0;255.0;219.0;155.5
Car;453.96;187.34;512.62;243.1;23.74;003578.txt;144.16782687651332;7479.24786319521;157.0;255.0;253.0;139.75
Car;474.39;187.54;520.84;227.84;31.11;003578.txt;147.47975543478262;7195.658285809754;157.0;255.0;251.0;153.25
Car;547.13;186.07;758.41;374.0;7.44;001966.txt;115.467820409398;9499.589944609068;142.0;255.0;255.0;222.5
Car;366.5;179.65;496.91;259.94;15.39;001966.txt;123.07995192307692;8996.222309613075;150.0;255.0;255.0;148.5
Car;702.28;175.33;773.89;221.51;24.61;001966.txt;134.6189528475199;8271.275041891837;151.0;255.0;255.0;174.25
Car;406.78;176.5;482.13;246.64;19.51;001324.txt;134.44436090225565;8574.285156170501;165.0;255.0;255.0;161.5
Car;436.52;177.89;481.38;211.8;33.88;001324.txt;136.00735294117646;8315.3285407055;157.0;255.0;255.0;147.5
Car;541.15;186.73;570.18;216.14;44.5;003913.txt;171.4787356321839;5589.60242138988;216.0;255.0;220.0;155.5
Car;275.05;179.5;461.66;317.96;10.87;003271.txt;116.13465209599501;9312.503987793876;147.0;255.0;255.0;154.25
Car;465.84;182.44;532.29;238.12;21.5;003271.txt;137.51912313432837;8188.638227056267;157.0;255.0;255.0;147.25
Car;529.99;176.6;582.88;209.72;35.92;003271.txt;158.63150371640938;5912.018870294584;159.0;255.0;250.0;155.5
Car;0.0;199.17;340.42;374.0;5.54;006183.txt;108.31276890756303;9907.816448719706;116.0;255.0;255.0;177.5
Car;350.23;178.55;513.96;290.87;11.87;006183.txt;124.21453220858896;9040.538879524816;153.0;255.0;255.0;197.5
Car;0.0;205.07;376.98;374.0;6.77;005091.txt;108.29606257081707;9892.934221560738;124.5;255.0;255.0;179.0
Car;377.0;184.87;521.37;285.85;13.18;005091.txt;125.68227447744775;8978.070014463716;154.0;255.0;255.0;194.5
Car;0.0;228.65;196.4;374.0;2.82;005293.txt;109.20635308918088;9870.988118011195;99.0;255.0;252.0;170.0
Car;198.22;192.8;431.05;343.15;9.41;005293.txt;118.70089247648012;9168.869236335055;150.0;255.0;255.0;147.75
Car;418.82;180.28;534.24;260.04;16.01;005293.txt;133.98814655172413;8599.754277599213;159.0;255.0;255.0;177.5
Car;691.43;182.13;834.56;311.59;11.02;004559.txt;121.61396161977558;9119.517844320746;150.0;255.0;255.0;204.5
Car;542.09;187.74;572.59;219.04;42.06;006784.txt;169.54140625;5526.007660522461;210.0;255.0;219.0;155.5
Car;551.11;185.85;736.26;361.07;8.22;001206.txt;118.32202856265356;9312.236400491814;146.0;255.0;255.0;216.5
Car;0.0;186.52;223.59;374.0;2.5;001206.txt;123.30257728270203;9410.792862835717;134.0;255.0;255.0;241.5
Car;394.24;179.82;507.47;251.17;17.06;001206.txt;125.6450651425762;8867.900846468227;153.0;255.0;255.0;143.5
Car;697.37;176.79;763.13;219.89;26.23;001206.txt;142.82778365045806;7435.431669929231;155.0;255.0;255.0;162.25
Car;140.34;193.92;406.72;337.66;9.62;000575.txt;118.05274253341688;9242.389533649144;147.0;255.0;255.0;160.0
Car;445.35;182.01;507.86;228.64;23.62;000575.txt;143.68627279102384;7529.675330497816;157.0;255.0;251.0;133.75
Car;543.58;177.62;586.56;214.01;30.01;000575.txt;156.16687617850408;6333.12142952521;163.0;255.0;227.0;155.5
Car;525.62;177.02;552.24;199.63;46.68;000575.txt;162.1266835016835;5801.493631425081;163.0;255.0;227.0;155.5
Car;540.86;187.59;572.24;219.89;40.81;001090.txt;168.43115234375;5651.023580312729;204.0;255.0;219.0;155.5
Car;469.26;175.15;541.73;239.43;24.62;000921.txt;141.64507378472223;7781.646596826154;157.0;255.0;254.0;148.0
Car;540.42;180.79;568.75;207.31;48.76;000921.txt;171.0439814814815;5671.123396317117;176.5;255.0;227.0;155.5
Car;464.56;184.51;696.05;283.93;12.25;007378.txt;117.30767807384187;9251.735848396536;124.0;255.0;255.0;164.5
Car;364.46;169.87;610.41;274.65;14.32;007378.txt;121.10974641889275;9063.136939463375;150.0;255.0;255.0;153.0
Car;208.58;187.75;266.8;222.26;31.65;007378.txt;153.3155172413793;6052.9585769492105;158.0;255.0;226.0;137.5
Car;956.63;187.75;1241.0;321.31;9.95;005593.txt;115.5664506415292;9427.57009334602;142.0;255.0;255.0;199.25
Car;557.18;172.16;590.5;197.74;43.71;006671.txt;171.82545454545453;5680.978624793387;216.0;255.0;219.0;155.5
Car;615.02;169.86;639.32;191.65;53.02;006671.txt;178.34848484848484;6158.167384067951;236.0;255.0;219.0;142.75
Car;270.28;183.78;425.4;264.6;14.78;004933.txt;129.544663480685;8682.97667900862;155.0;255.0;255.0;188.0
Car;617.33;184.95;898.0;304.31;10.26;007108.txt;113.81880189798339;9454.205809003459;115.5;255.0;255.0;168.0
Car;522.94;167.04;791.62;281.89;12.97;007108.txt;117.4609583903998;9258.516508753437;148.0;255.0;255.0;161.25
Car;372.68;185.69;424.25;219.22;32.56;007108.txt;154.25650452488688;6212.5003818993;160.0;255.0;228.0;155.5
Car;506.34;187.05;708.82;263.38;15.21;007108.txt;117.86500130276185;9221.202398071911;148.0;255.0;255.0;150.25
Car;161.05;190.96;434.77;360.9;7.91;005877.txt;112.99789915966386;9778.220519180524;137.0;255.0;255.0;234.5
Car;504.96;173.03;584.53;245.58;17.47;005877.txt;128.52578125;8771.087703382704;162.0;255.0;255.0;174.5
Car;501.42;171.3;564.78;223.8;23.41;005877.txt;131.70543345543345;8789.641252528843;162.0;255.0;255.0;174.5
Car;600.75;171.18;639.52;210.08;28.67;005877.txt;151.79372123602892;6846.28371468626;158.0;255.0;243.0;155.5
Car;295.36;183.1;393.89;242.07;19.29;005877.txt;123.81468350051885;9380.265640499967;138.0;255.0;255.0;226.5
Car;451.86;173.71;500.67;205.28;36.4;005877.txt;170.10188137755102;6136.120519419602;195.0;255.0;220.0;155.5
Car;588.6;158.61;643.28;217.79;25.23;003793.txt;148.52657935285055;7009.394748083456;157.0;255.0;243.0;155.0
Car;157.18;189.97;432.47;360.57;7.87;002274.txt;113.03130781499202;9830.259482340656;135.0;255.0;255.0;237.5
Car;506.83;172.66;585.5;244.4;17.65;002274.txt;129.65106364275667;8730.144725486105;162.0;255.0;255.0;174.5
Car;502.71;171.04;565.31;222.93;23.67;002274.txt;132.36756924992218;8674.130843671284;162.0;255.0;255.0;174.5
Car;600.4;170.88;638.84;209.44;28.91;002274.txt;152.64237516869096;6906.850849419302;158.0;255.0;241.0;155.5
Car;372.83;179.95;443.15;224.43;24.83;002274.txt;147.13544600938968;8149.0211692455205;161.0;255.0;255.0;207.5
Car;470.47;175.29;527.4;209.79;31.75;005875.txt;157.48155314757483;6629.272363532005;160.0;255.0;230.0;155.5
Car;613.38;163.86;650.75;201.68;38.24;001487.txt;162.16678520625888;5418.206179850022;187.0;255.0;212.0;155.5
Car;254.08;184.29;360.28;232.81;24.82;002162.txt;144.17516705974842;7578.1715079319965;157.0;255.0;254.0;153.25
Car;512.54;174.61;553.89;200.31;42.03;004805.txt;171.66181988742963;5959.97100006512;206.0;255.0;219.0;155.5
Car;550.73;172.77;587.89;200.88;39.94;003079.txt;166.78909266409266;5631.524533539677;199.0;255.0;219.0;155.5
Car;613.3;170.04;639.38;193.12;50.15;003079.txt;175.83695652173913;5851.715055620184;230.0;255.0;219.0;149.25
Car;119.23;190.35;289.37;260.99;18.12;003348.txt;133.402268907563;8318.510028465504;157.0;255.0;255.0;137.5
Car;535.45;172.24;579.73;206.19;33.42;003853.txt;157.5212232620321;6102.785980054433;168.0;255.0;222.0;155.0
Car;612.03;167.84;641.05;193.7;44.99;003853.txt;170.55371352785147;5631.171518039949;212.0;255.0;222.0;155.5
Car;491.89;172.1;532.73;201.03;38.07;003853.txt;163.97792262405383;5610.189378022608;191.0;255.0;219.0;155.5
Car;585.7;166.75;607.87;187.89;55.5;003853.txt;178.99404761904762;6308.517821712018;235.0;255.0;222.0;155.5
Car;312.94;184.4;533.14;276.59;13.25;006487.txt;119.31638550068857;9143.071513927329;132.0;255.0;255.0;159.25
Car;212.5;169.5;458.14;269.75;15.08;006487.txt;122.29322154471545;9005.336104459051;149.0;255.0;255.0;149.75
Car;0.0;188.39;72.59;225.66;29.13;006487.txt;155.19331831831832;5914.39956496474;157.0;255.0;255.0;140.5
Car;0.0;198.18;387.19;373.0;4.05;002437.txt;115.3198818752307;9750.476959454489;134.0;255.0;255.0;241.5
Car;400.23;184.37;508.16;262.46;14.98;002437.txt;135.76831077872745;8566.805680266192;163.0;255.0;255.0;169.5
Car;581.18;176.79;627.03;218.61;28.66;002437.txt;155.0799689440994;6345.209443477297;160.0;255.0;229.0;155.5
Car;540.65;174.31;578.57;206.54;37.01;002437.txt;166.19202302631578;5680.34265018368;197.0;255.0;220.0;155.5
Car;496.55;177.19;529.32;201.98;45.05;002437.txt;179.5224116161616;6357.041164386129;236.0;255.0;219.0;143.25
Car;173.41;191.3;444.92;358.32;8.01;005401.txt;112.87313564752414;9819.88506989682;137.0;255.0;255.0;234.5
Car;489.8;173.94;577.73;254.1;16.03;005401.txt;128.23677749719417;9016.948390681691;158.0;255.0;255.0;184.5
Car;493.55;174.5;561.99;231.2;21.81;005401.txt;126.79295665634675;9016.915079390279;158.0;255.0;255.0;184.5
Car;599.65;174.19;641.9;216.56;26.41;005401.txt;146.3262471655329;7477.741351902629;159.0;255.0;250.0;155.5
Car;405.09;179.81;474.34;220.03;28.42;005401.txt;155.33580770590314;7215.098615298479;160.0;255.0;254.0;155.5
Car;570.2;175.94;611.21;209.84;34.15;005401.txt;152.6022238163558;6721.699378124942;159.0;255.0;255.0;160.5
Car;286.89;185.04;461.33;298.57;10.84;005755.txt;123.79247787610619;9130.036340383518;150.0;255.0;255.0;204.5
Car;536.95;172.09;595.67;225.66;22.87;005755.txt;140.31363927086664;8169.8279975328105;161.0;255.0;255.0;155.0
Car;519.09;169.94;564.87;208.45;31.27;005755.txt;150.77435897435896;7507.251365329827;165.0;255.0;255.0;155.5
Car;436.54;176.14;481.78;205.76;35.76;005755.txt;164.8925287356322;6141.65952272427;182.0;255.0;220.0;155.5
Car;589.71;170.52;620.7;201.6;35.6;005755.txt;162.15192507804372;6288.231861538611;168.0;255.0;253.0;155.0
Car;347.76;179.71;414.75;228.36;23.71;003077.txt;148.35615290892477;7465.216667137143;158.0;255.0;251.0;155.5
Car;417.18;179.32;450.12;198.69;58.09;003077.txt;188.82097288676235;7965.556864763221;241.5;255.0;219.0;99.25
Car;0.0;195.4;416.43;373.0;4.91;003732.txt;112.31239196197062;9841.5030689436;134.0;255.0;255.0;241.5
Car;414.51;184.13;523.92;263.62;14.72;003732.txt;133.36287887585647;8771.2332300816;162.0;255.0;255.0;174.5
Car;584.51;175.7;641.78;227.93;23.38;003732.txt;144.90705128205127;7768.97044285702;161.0;255.0;253.0;155.5
Car;532.94;173.85;581.36;215.61;28.97;003732.txt;154.58041788143828;6603.399023732081;159.0;255.0;237.0;155.5
Car;0.0;197.27;244.21;360.12;8.35;003732.txt;109.4646359247712;9957.268197737812;134.0;255.0;255.0;209.25
Car;466.07;171.36;515.18;206.0;37.06;003732.txt;158.3360058309038;7611.5965753002565;165.0;255.0;255.0;163.5
Car;731.23;160.97;763.95;194.27;43.09;007290.txt;170.33961397058823;5437.517015292158;206.5;255.0;217.0;155.5
Car;344.44;184.74;483.51;278.63;12.75;001164.txt;130.86348155518138;9034.49848731242;157.0;255.0;255.0;189.5
Car;552.47;172.23;605.53;220.66;25.07;001164.txt;146.88934748427673;7596.742669542777;161.0;255.0;248.0;155.5
Car;531.19;171.18;572.4;206.07;34.33;001164.txt;156.48031358885018;6743.0875915392935;163.0;255.0;248.0;155.5
Car;502.8;174.39;530.64;193.65;54.1;001164.txt;183.89614661654136;7065.993443798053;241.0;255.0;222.0;145.25
Car;593.83;171.59;622.67;200.51;38.18;001164.txt;164.06331747919143;6680.433267947959;165.0;255.0;248.0;155.5
Car;571.86;149.26;623.31;204.1;27.04;005994.txt;156.09562937062938;6187.366204673823;164.0;255.0;226.0;155.5
Car;879.1;182.17;1086.75;274.09;13.28;007305.txt;122.60890569208149;8957.7968457044;152.0;255.0;255.0;143.75
Car;567.76;164.57;608.1;205.64;35.39;005037.txt;157.14738251041047;5772.918343832864;173.0;255.0;217.0;155.5
Car;564.42;166.78;593.54;190.19;47.61;000656.txt;176.472341954023;5986.548803998009;229.0;255.0;220.0;150.25
Car;615.84;163.79;639.01;184.33;56.11;000656.txt;181.43154761904762;6643.958607922335;241.5;255.0;222.0;134.25
Car;157.92;191.43;424.09;355.2;8.16;002214.txt;113.13304444139948;9798.974779993272;137.0;255.0;255.0;234.5
Car;515.26;171.62;585.34;235.52;19.54;002214.txt;132.324609375;8567.87347920009;158.0;255.0;255.0;161.5
Car;502.3;169.25;557.24;214.78;26.73;002214.txt;137.45828282828282;8303.028865738192;159.0;255.0;255.0;161.5
Car;0.0;195.81;183.74;332.01;9.42;002214.txt;113.84466116229908;9516.063680463347;138.0;255.0;255.0;190.5
Car;587.26;169.62;622.36;204.83;31.56;002214.txt;155.16632653061225;6576.738253852561;157.0;255.0;236.0;155.5
Car;301.84;186.27;467.5;295.77;11.22;006015.txt;124.30229634132861;9142.137767469163;151.0;255.0;255.0;202.5
Car;540.75;172.14;597.95;224.32;23.42;006015.txt;141.64667678812415;8098.637898875292;163.0;255.0;254.0;155.5
Car;522.17;170.2;566.65;207.7;32.07;006015.txt;151.5439189189189;7288.0361546666445;166.0;255.0;254.0;155.5
Car;458.1;175.7;496.84;201.88;40.25;006015.txt;169.95926113360323;5883.832095405494;203.0;255.0;222.0;155.5
Car;590.48;170.89;620.89;201.4;36.25;006015.txt;162.61370967741937;6413.227392689906;167.0;255.0;253.0;155.5
Car;539.8;184.59;791.54;292.9;11.27;007060.txt;115.22514329805996;9375.583441153776;119.0;255.0;255.0;166.5
Car;440.45;168.6;695.64;278.25;13.65;007060.txt;119.1669696969697;9177.485097947387;148.0;255.0;255.0;157.5
Car;295.85;186.38;349.84;220.03;32.39;007060.txt;153.16843681917211;6130.610381761259;160.0;255.0;229.0;155.5
Car;434.19;187.61;627.2;260.38;16.05;007060.txt;118.7610547235432;9175.96881189061;148.0;255.0;255.0;148.25
Car;462.47;174.59;549.96;238.14;18.78;000793.txt;136.796560704023;8839.183783070668;164.0;255.0;255.0;167.5
Car;523.4;175.6;568.46;212.46;29.4;000793.txt;145.00495495495497;7758.825651124097;158.0;255.0;255.0;166.5
Car;601.71;169.27;640.76;204.87;33.28;000793.txt;159.42783882783883;6058.681056501498;173.0;255.0;219.0;155.0
Car;566.8;167.41;597.76;194.69;43.41;000793.txt;172.93876941457586;5921.623192272995;215.0;255.0;224.0;155.5
Car;631.16;158.75;667.62;195.64;39.14;003324.txt;165.57075825825825;5557.6511494250435;194.0;255.0;219.0;155.5
Car;581.94;155.52;635.25;212.46;26.14;000889.txt;149.41739766081872;6753.40919374765;157.0;255.0;240.0;152.75
Car;125.17;187.93;424.09;365.94;7.56;003303.txt;110.80342715418436;9879.975977131391;134.0;255.0;255.0;237.0
Car;508.42;168.89;586.08;239.7;17.85;003303.txt;131.30055976886962;8707.059356855312;163.0;255.0;255.0;171.5
Car;501.21;167.33;561.93;217.52;24.41;003303.txt;135.62916666666666;8733.900649305555;163.0;255.0;255.0;171.5
Car;595.82;168.13;633.29;205.7;29.64;003303.txt;153.69132290184922;6692.8375065002865;158.0;255.0;237.0;155.5
Car;975.65;170.06;1223.0;337.28;6.45;001570.txt;107.4230852810508;10095.42120166512;134.0;255.0;255.0;177.75
Car;713.78;168.52;850.33;211.11;25.09;001570.txt;144.18659820064505;7381.986017981318;157.0;255.0;255.0;133.75
Car;133.94;191.02;437.08;373.0;7.41;001500.txt;112.78732287449392;9741.337233015187;138.0;255.0;255.0;232.5
Car;479.03;170.13;574.29;256.36;15.05;001500.txt;128.0405140758874;8937.277428377096;158.0;255.0;255.0;184.5
Car;599.55;169.87;644.12;214.58;25.09;001500.txt;146.9958024691358;7582.898007072093;162.0;255.0;251.0;155.5
Car;571.38;171.36;612.74;205.91;33.57;001500.txt;152.00251076040172;6575.248200295795;158.0;255.0;253.0;155.0
Car;180.85;194.09;446.71;359.56;8.12;007454.txt;112.2419400774664;9805.202190676748;137.0;255.0;255.0;234.5
Car;491.84;174.44;578.24;253.19;16.27;007454.txt;127.50061836170522;8955.595263694451;159.0;255.0;255.0;182.5
Car;494.58;174.55;562.32;230.7;22.01;007454.txt;126.99067752100841;9014.954745024157;159.0;255.0;255.0;182.5
Car;599.62;173.93;641.41;215.83;26.69;007454.txt;147.1295351473923;7481.004479148991;160.0;255.0;249.0;155.5
Car;432.32;178.47;490.52;213.56;32.17;007454.txt;160.00677339901478;6715.869042791017;162.0;255.0;229.0;155.5
Car;572.09;176.02;612.87;209.88;34.19;007454.txt;151.59204545454546;6695.740391270662;158.0;255.0;255.0;157.75
Car;669.6;159.28;704.34;194.51;40.87;000153.txt;167.1538775510204;5412.990607413578;200.0;255.0;217.0;155.5
Car;848.06;166.46;1169.62;266.92;10.37;000460.txt;122.66565420560748;8982.655876441177;151.0;255.0;255.0;156.75
Car;204.33;189.94;433.44;334.99;8.97;005089.txt;116.37049390152086;9614.530909242583;140.0;255.0;255.0;226.5
Car;521.62;171.86;587.7;232.13;20.58;005089.txt;136.60810978638847;8541.102445408713;166.0;255.0;255.0;156.5
Car;507.12;171.71;558.93;214.87;28.1;005089.txt;141.8840629274966;8010.96136479677;159.0;255.0;255.0;156.5
Car;244.23;186.93;360.22;251.13;17.81;005089.txt;120.84214190981433;9362.313575518325;140.0;255.0;255.0;224.5
Car;586.85;169.94;620.59;203.78;32.8;005089.txt;159.5817474048443;6563.809926358341;164.0;255.0;255.0;155.5
Car;519.23;170.38;571.76;210.48;28.6;003780.txt;151.05564903846152;7000.327311838364;158.0;255.0;243.0;155.5
Car;551.31;170.56;584.58;197.75;39.26;003780.txt;156.97558922558923;6000.550189748211;157.0;255.0;240.0;155.5
Car;608.2;165.66;640.09;194.4;40.72;003780.txt;166.35183189655172;5557.357356557948;200.0;255.0;222.0;155.5
Car;281.72;176.3;418.64;253.25;15.53;003780.txt;130.2345719973457;8636.578021764391;157.0;255.0;255.0;186.75
Car;579.27;164.3;604.58;187.36;51.04;003780.txt;175.2286956521739;5927.731176559546;228.0;255.0;222.0;155.0
Car;407.94;180.54;536.46;269.67;14.01;007241.txt;127.18950875359289;9158.60686580693;154.0;255.0;255.0;195.5
Car;502.58;177.06;562.24;222.44;24.17;007241.txt;140.13564814814814;8542.885025505826;157.0;255.0;255.0;190.5
Car;600.26;171.1;642.82;209.9;30.71;007241.txt;154.7564223057644;6573.5276059970965;158.0;255.0;231.0;155.5
Car;562.61;168.03;595.9;197.98;39.7;007241.txt;166.72622779519332;5827.107911893773;194.0;255.0;224.0;155.5
Car;566.58;167.32;594.57;189.8;49.48;006921.txt;177.42978896103895;6080.3578950853325;232.0;255.0;220.0;148.5
Car;615.38;166.41;638.16;186.44;57.52;006921.txt;181.0717391304348;6646.0415926276;241.0;255.0;219.0;130.0
Car;538.42;174.83;571.38;195.29;52.33;006510.txt;179.41630591630593;6343.442851000212;236.0;255.0;219.0;146.75
Car;150.71;192.99;428.64;367.23;7.8;001240.txt;108.8265210688592;10026.137238051202;134.0;255.0;255.0;241.5
Car;508.94;172.13;587.23;243.52;17.72;001240.txt;128.78552326617935;8733.797019876843;162.0;255.0;255.0;174.5
Car;503.37;170.83;564.91;221.8;24.07;001240.txt;133.13283510125362;8831.035954964453;162.0;255.0;255.0;174.5
Car;599.3;170.11;637.27;208.19;29.26;001240.txt;152.62655817174516;6835.455935937751;158.0;255.0;241.0;155.5
Car;443.3;175.24;490.39;206.99;34.07;001240.txt;164.89893617021278;6341.541776493524;178.0;255.0;219.0;154.25
Car;472.93;173.72;554.2;231.64;20.4;002195.txt;137.77743902439025;8584.228431288335;164.0;255.0;255.0;159.5
Car;528.13;171.91;571.35;206.71;31.04;002195.txt;148.69850498338872;7651.535844941007;158.0;255.0;255.0;156.5
Car;602.75;168.93;640.68;203.52;34.19;002195.txt;159.11015037593984;5894.981475917238;175.0;255.0;219.0;155.5
Car;567.59;166.44;597.8;193.01;44.53;002195.txt;171.5820987654321;5745.6284449779005;216.0;255.0;225.0;155.5
Car;0.0;192.61;420.37;373.0;5.04;002145.txt;113.3868685872139;9816.171718515745;134.0;255.0;255.0;241.5
Car;415.4;182.06;522.78;260.21;14.86;002145.txt;133.77060867481427;8865.417365241789;161.0;255.0;255.0;175.5
Car;583.19;173.66;639.93;225.41;23.58;002145.txt;145.3279532967033;7942.375963118698;164.0;255.0;253.0;155.5
Car;534.26;173.53;580.84;214.6;29.43;002145.txt;153.5670731707317;6642.09120638595;158.0;255.0;239.0;155.5
Car;208.96;187.78;378.32;268.06;14.6;002145.txt;123.8171568627451;9173.737356331969;137.0;255.0;255.0;224.25
Car;489.28;169.95;529.55;199.15;43.55;002145.txt;170.19395833333334;6575.6030051649295;215.0;255.0;255.0;156.5
Car;475.83;173.72;555.41;229.89;20.97;005420.txt;137.88738839285713;8400.28664898308;160.0;255.0;255.0;155.5
Car;529.54;172.21;572.21;206.37;31.59;005420.txt;147.89073187414502;7516.101090572433;159.0;255.0;255.0;155.5
Car;603.28;169.17;640.76;203.34;34.58;005420.txt;158.23112082670906;5717.730963131666;176.0;255.0;219.0;155.5
Car;567.24;166.22;597.15;192.51;44.98;005420.txt;173.10576923076923;5866.602274408283;221.0;255.0;226.0;155.5
Car;724.85;166.55;903.15;221.89;19.54;001748.txt;137.1615033011681;8173.4702092179905;157.0;255.0;255.0;139.0
Car;537.19;158.16;583.83;207.6;29.77;003667.txt;155.260536823425;6096.514529614216;164.0;255.0;225.0;155.5
Car;166.11;190.87;437.8;359.22;7.96;004310.txt;111.7876482019258;9843.218111150632;137.0;255.0;255.0;234.5
Car;502.4;173.54;583.2;247.2;17.24;004310.txt;129.20295295295296;8807.691292581372;162.0;255.0;255.0;174.5
Car;500.66;171.75;564.78;225.01;23.11;004310.txt;132.11024305555554;8949.849680959442;162.0;255.0;255.0;175.5
Car;600.55;172.12;639.92;211.61;28.26;004310.txt;151.36341222879685;6983.1567218215205;158.0;255.0;241.0;155.5
Car;74.1;190.36;276.81;293.42;11.94;004310.txt;118.40990579640489;9306.275455081004;138.0;255.0;255.0;219.0
Car;400.99;176.18;468.16;216.77;28.73;004310.txt;157.53979779411765;7184.46808525323;160.0;255.0;255.0;155.5
Car;573.47;176.67;612.83;209.16;35.54;004310.txt;151.09110334110335;6654.691195130735;158.0;255.0;255.0;170.75
Car;265.37;182.73;500.15;339.26;8.9;000640.txt;114.8163978858924;9712.199790738016;139.0;255.0;255.0;229.5
