Type;BBox_left;BBox_top;BBox_right;BBox_bottom;Distance;Label Name;Mean Depth;Depth Variance;BBox Area;BBox Height;BBox Width
Car;344.44;184.74;483.51;278.63;12.75;001164.txt;130.863481555181;9034.49848731242;13066;94;139
Car;552.47;172.23;605.53;220.66;25.07;001164.txt;146.889347484277;7596.74266954278;2544;48;53
Car;531.19;171.18;572.4;206.07;34.33;001164.txt;156.48031358885;6743.08759153929;1435;35;41
Car;502.8;174.39;530.64;193.65;54.1;001164.txt;183.896146616541;7065.99344379805;532;19;28
Car;593.83;171.59;622.67;200.51;38.18;001164.txt;164.063317479191;6680.43326794796;841;29;29
Car;571.86;149.26;623.31;204.1;27.04;005994.txt;156.095629370629;6187.36620467382;2860;55;52
Car;879.1;182.17;1086.75;274.09;13.28;007305.txt;122.608905692082;8957.7968457044;19044;92;207
Car;567.76;164.57;608.1;205.64;35.39;005037.txt;157.147382510411;5772.91834383286;1681;41;41
Car;564.42;166.78;593.54;190.19;47.61;000656.txt;176.472341954023;5986.54880399801;696;24;29
Car;615.84;163.79;639.01;184.33;56.11;000656.txt;181.431547619048;6643.95860792234;504;21;24
Car;157.92;191.43;424.09;355.2;8.16;002214.txt;113.1330444414;9798.97477999327;43788;164;267
Car;515.26;171.62;585.34;235.52;19.54;002214.txt;132.324609375;8567.87347920009;4480;64;70
Car;502.3;169.25;557.24;214.78;26.73;002214.txt;137.458282828283;8303.02886573819;2475;45;55
Car;0;195.81;183.74;332.01;9.42;002214.txt;113.844661162299;9516.06368046335;25071;137;183
Car;587.26;169.62;622.36;204.83;31.56;002214.txt;155.166326530612;6576.73825385256;1225;35;35
Car;301.84;186.27;467.5;295.77;11.22;006015.txt;124.302296341329;9142.13776746916;18094;109;166
Car;540.75;172.14;597.95;224.32;23.42;006015.txt;141.646676788124;8098.63789887529;2964;52;57
Car;522.17;170.2;566.65;207.7;32.07;006015.txt;151.543918918919;7288.03615466665;1628;37;44
Car;458.1;175.7;496.84;201.88;40.25;006015.txt;169.959261133603;5883.83209540549;988;26;38
Car;590.48;170.89;620.89;201.4;36.25;006015.txt;162.613709677419;6413.22739268991;930;31;30
Car;539.8;184.59;791.54;292.9;11.27;007060.txt;115.22514329806;9375.58344115378;27216;108;252
Car;440.45;168.6;695.64;278.25;13.65;007060.txt;119.16696969697;9177.48509794739;28050;110;255
Car;295.85;186.38;349.84;220.03;32.39;007060.txt;153.168436819172;6130.61038176126;1836;34;54
Car;434.19;187.61;627.2;260.38;16.05;007060.txt;118.761054723543;9175.96881189061;14089;73;193
Car;462.47;174.59;549.96;238.14;18.78;000793.txt;136.796560704023;8839.18378307067;5568;64;87
Car;523.4;175.6;568.46;212.46;29.4;000793.txt;145.004954954955;7758.8256511241;1665;37;45
Car;601.71;169.27;640.76;204.87;33.28;000793.txt;159.427838827839;6058.6810565015;1365;35;39
Car;566.8;167.41;597.76;194.69;43.41;000793.txt;172.938769414576;5921.623192273;837;27;31
Car;631.16;158.75;667.62;195.64;39.14;003324.txt;165.570758258258;5557.65114942504;1332;37;36
Car;581.94;155.52;635.25;212.46;26.14;000889.txt;149.417397660819;6753.40919374765;3078;57;54
Car;125.17;187.93;424.09;365.94;7.56;003303.txt;110.803427154184;9879.97597713139;53222;178;299
Car;508.42;168.89;586.08;239.7;17.85;003303.txt;131.30055976887;8707.05935685531;5538;71;78
Car;501.21;167.33;561.93;217.52;24.41;003303.txt;135.629166666667;8733.90064930556;3000;50;60
Car;595.82;168.13;633.29;205.7;29.64;003303.txt;153.691322901849;6692.83750650029;1406;37;38
Car;975.65;170.06;1223;337.28;6.45;001570.txt;107.423085281051;10095.4212016651;41416;167;248
Car;713.78;168.52;850.33;211.11;25.09;001570.txt;144.186598200645;7381.98601798132;5891;43;137
Car;133.94;191.02;437.08;373;7.41;001500.txt;112.787322874494;9741.33723301519;55328;182;304
Car;479.03;170.13;574.29;256.36;15.05;001500.txt;128.040514075887;8937.2774283771;8170;86;95
Car;599.55;169.87;644.12;214.58;25.09;001500.txt;146.995802469136;7582.89800707209;2025;45;45
Car;571.38;171.36;612.74;205.91;33.57;001500.txt;152.002510760402;6575.2482002958;1394;34;41
Car;180.85;194.09;446.71;359.56;8.12;007454.txt;112.241940077466;9805.20219067675;43890;165;266
Car;491.84;174.44;578.24;253.19;16.27;007454.txt;127.500618361705;8955.59526369445;6873;79;87
Car;494.58;174.55;562.32;230.7;22.01;007454.txt;126.990677521008;9014.95474502416;3808;56;68
Car;599.62;173.93;641.41;215.83;26.69;007454.txt;147.129535147392;7481.00447914899;1764;42;42
Car;432.32;178.47;490.52;213.56;32.17;007454.txt;160.006773399015;6715.86904279102;2030;35;58
Car;572.09;176.02;612.87;209.88;34.19;007454.txt;151.592045454546;6695.74039127066;1320;33;40
Car;669.6;159.28;704.34;194.51;40.87;000153.txt;167.15387755102;5412.99060741358;1225;35;35
Car;848.06;166.46;1169.62;266.92;10.37;000460.txt;122.665654205608;8982.65587644118;32100;100;321
Car;204.33;189.94;433.44;334.99;8.97;005089.txt;116.370493901521;9614.53090924258;33205;145;229
Car;521.62;171.86;587.7;232.13;20.58;005089.txt;136.608109786389;8541.10244540871;4026;61;66
Car;507.12;171.71;558.93;214.87;28.1;005089.txt;141.884062927497;8010.96136479677;2193;43;51
Car;244.23;186.93;360.22;251.13;17.81;005089.txt;120.842141909814;9362.31357551833;7540;65;116
Car;586.85;169.94;620.59;203.78;32.8;005089.txt;159.581747404844;6563.80992635834;1156;34;34
Car;519.23;170.38;571.76;210.48;28.6;003780.txt;151.055649038462;7000.32731183836;2080;40;52
Car;551.31;170.56;584.58;197.75;39.26;003780.txt;156.975589225589;6000.55018974821;891;27;33
Car;608.2;165.66;640.09;194.4;40.72;003780.txt;166.351831896552;5557.35735655795;928;29;32
Car;281.72;176.3;418.64;253.25;15.53;003780.txt;130.234571997346;8636.57802176439;10549;77;137
Car;579.27;164.3;604.58;187.36;51.04;003780.txt;175.228695652174;5927.73117655955;575;23;25
Car;407.94;180.54;536.46;269.67;14.01;007241.txt;127.189508753593;9158.60686580693;11481;89;129
Car;502.58;177.06;562.24;222.44;24.17;007241.txt;140.135648148148;8542.88502550583;2700;45;60
Car;600.26;171.1;642.82;209.9;30.71;007241.txt;154.756422305764;6573.5276059971;1596;38;42
Car;562.61;168.03;595.9;197.98;39.7;007241.txt;166.726227795193;5827.10791189377;957;29;33
Car;566.58;167.32;594.57;189.8;49.48;006921.txt;177.429788961039;6080.35789508533;616;22;28
Car;615.38;166.41;638.16;186.44;57.52;006921.txt;181.071739130435;6646.0415926276;460;20;23
Car;538.42;174.83;571.38;195.29;52.33;006510.txt;179.416305916306;6343.44285100021;693;21;33
Car;150.71;192.99;428.64;367.23;7.8;001240.txt;108.826521068859;10026.1372380512;48650;175;278
Car;508.94;172.13;587.23;243.52;17.72;001240.txt;128.785523266179;8733.79701987684;5609;71;79
Car;503.37;170.83;564.91;221.8;24.07;001240.txt;133.132835101254;8831.03595496445;3111;51;61
Car;599.3;170.11;637.27;208.19;29.26;001240.txt;152.626558171745;6835.45593593775;1444;38;38
Car;443.3;175.24;490.39;206.99;34.07;001240.txt;164.898936170213;6341.54177649352;1457;31;47
Car;472.93;173.72;554.2;231.64;20.4;002195.txt;137.77743902439;8584.22843128834;4756;58;82
Car;528.13;171.91;571.35;206.71;31.04;002195.txt;148.698504983389;7651.53584494101;1505;35;43
Car;602.75;168.93;640.68;203.52;34.19;002195.txt;159.11015037594;5894.98147591724;1330;35;38
Car;567.59;166.44;597.8;193.01;44.53;002195.txt;171.582098765432;5745.6284449779;810;27;30
Car;0;192.61;420.37;373;5.04;002145.txt;113.386868587214;9816.17171851575;76020;181;420
Car;415.4;182.06;522.78;260.21;14.86;002145.txt;133.770608674814;8865.41736524179;8346;78;107
Car;583.19;173.66;639.93;225.41;23.58;002145.txt;145.327953296703;7942.3759631187;2912;52;56
Car;534.26;173.53;580.84;214.6;29.43;002145.txt;153.567073170732;6642.09120638595;1886;41;46
Car;208.96;187.78;378.32;268.06;14.6;002145.txt;123.817156862745;9173.73735633197;13770;81;170
Car;489.28;169.95;529.55;199.15;43.55;002145.txt;170.193958333333;6575.60300516493;1200;30;40
Car;475.83;173.72;555.41;229.89;20.97;005420.txt;137.887388392857;8400.28664898308;4480;56;80
Car;529.54;172.21;572.21;206.37;31.59;005420.txt;147.890731874145;7516.10109057243;1462;34;43
Car;603.28;169.17;640.76;203.34;34.58;005420.txt;158.231120826709;5717.73096313167;1258;34;37
Car;567.24;166.22;597.15;192.51;44.98;005420.txt;173.105769230769;5866.60227440828;780;26;30
Car;724.85;166.55;903.15;221.89;19.54;001748.txt;137.161503301168;8173.47020921799;9845;55;179
Car;537.19;158.16;583.83;207.6;29.77;003667.txt;155.260536823425;6096.51452961422;2254;49;46
Car;166.11;190.87;437.8;359.22;7.96;004310.txt;111.787648201926;9843.21811115063;45799;169;271
Car;502.4;173.54;583.2;247.2;17.24;004310.txt;129.202952952953;8807.69129258137;5994;74;81
Car;500.66;171.75;564.78;225.01;23.11;004310.txt;132.110243055556;8949.84968095944;3456;54;64
Car;600.55;172.12;639.92;211.61;28.26;004310.txt;151.363412228797;6983.15672182152;1521;39;39
Car;74.1;190.36;276.81;293.42;11.94;004310.txt;118.409905796405;9306.275455081;20806;103;202
Car;400.99;176.18;468.16;216.77;28.73;004310.txt;157.539797794118;7184.46808525323;2720;40;68
Car;573.47;176.67;612.83;209.16;35.54;004310.txt;151.091103341103;6654.69119513074;1287;33;39
Car;265.37;182.73;500.15;339.26;8.9;000640.txt;114.816397885892;9712.19979073802;36895;157;235
Car;467.44;175.52;547.77;234.95;18.85;000640.txt;135.916525423729;8917.18731165613;4720;59;80
Car;594.9;166.94;642.7;210.54;27.58;000640.txt;148.313446969697;7446.60061463355;2112;44;48
Car;552.99;164.31;591.7;199.03;34.5;000640.txt;159.471794871795;6336.57997370151;1365;35;39
Car;0;192.41;399.14;373;4.05;006665.txt;110.993273930683;9923.65896070026;72219;181;399
Car;399.37;182.88;519.1;269.58;13.59;006665.txt;131.148156130268;8856.28353347754;10440;87;120
Car;589.22;175.32;648.74;229.6;22.58;006665.txt;142.088983050847;8023.78665201039;3186;54;59
Car;527.98;173.04;579.19;218.39;26.83;006665.txt;149.119978632479;6886.6004555551;2340;45;52
Car;0;166.75;187.41;365.46;6.53;006665.txt;108.865692096848;9993.38546285169;37213;199;187
Car;319.49;181.72;431.84;242.62;19.58;006665.txt;139.765222482436;8289.34220094582;6832;61;112
Car;117.74;189.08;418.79;370.11;7.5;004463.txt;109.715336539344;9966.11052432141;54481;181;301
Car;508.57;163.24;585.42;233.28;18.01;004463.txt;133.566048237477;8784.37170442068;5390;70;77
Car;500.66;167.08;560.55;216.58;24.73;004463.txt;132.3125;8598.79256483844;2940;49;60
Car;593.87;166.26;631.03;203.53;29.88;004463.txt;153.113086770982;6497.33145035805;1406;37;38
Car;531.05;174.77;566.34;196.72;48.9;006606.txt;177.159090909091;6163.40975501771;770;22;35
Car;198.08;186.9;329.7;244.51;21.45;007417.txt;138.916392471703;8000.65440093678;7598;58;131
Car;386.94;179.27;437.26;217.81;29.59;005393.txt;159.286119711042;5918.07706223954;1938;38;51
Car;426.42;178.24;454.58;195.49;64.94;005393.txt;183.789390756303;7460.16415214983;476;17;28
Car;513.65;171.83;569.17;214.16;27.2;004544.txt;149.375415282392;7412.60781751857;2408;43;56
Car;547.61;171;582.15;199.3;37.79;004544.txt;154.834183673469;6434.48730086422;980;28;35
Car;607.25;167.37;640;197.01;39.53;004544.txt;164.271717171717;5824.41051321294;990;30;33
Car;0;187.59;281.43;356.37;8.31;004544.txt;110.288682642296;9818.96230974512;47489;169;281
Car;577.18;166.25;603.5;189.87;49.86;004544.txt;173.907190635452;5882.05158709075;598;23;26
Car;500.66;174.2;563.72;221.62;24.49;001668.txt;142.484042553192;7864.01519622109;2961;47;63
Car;540.23;173.55;577.43;204.09;35.14;001668.txt;151.791848299913;6963.50397016705;1147;31;37
Car;605.68;169.44;640.24;200.96;37.31;001668.txt;161.595852534562;5684.21500584001;1085;31;35
Car;573.63;168.13;601.5;192.85;47.72;001668.txt;174.330357142857;5865.19220344388;672;24;28
Car;690.86;162.03;724.95;196.57;41.64;004085.txt;166.421064013841;5265.38736772601;1156;34;34
Car;237.07;183.53;457.92;273.33;13.57;003575.txt;118.772386363636;9158.56830566891;19800;90;220
Car;130.3;168.19;384.05;268.22;15.16;003575.txt;120.841348425197;9055.21218204002;25400;100;254
Car;720.78;166.15;886.41;217.62;20.93;001655.txt;138.815644932672;8037.95316770951;8466;51;166
Car;525.22;169.11;574.76;207.01;30.15;001009.txt;154.223147153598;6653.02297656159;1862;38;49
Car;555.11;170.81;587.12;196.89;40.86;001009.txt;159.774038461539;5778.79629715237;832;26;32
Car;609.38;165.49;640.33;193.27;42.05;001009.txt;167.873271889401;5492.11066809658;868;28;31
Car;398.33;172.98;477.3;222.57;23.02;001009.txt;143.485379746835;8333.53611536212;3950;50;79
Car;581.42;164.08;605.69;186.52;52.4;001009.txt;176.82196969697;6055.7211461203;528;22;24
Car;453.56;176.5;546.48;244;17.8;007097.txt;133.72726913346;8876.0134183172;6324;68;93
Car;519.98;175.51;567.11;213.85;28.33;007097.txt;144.242461622807;7956.68422222989;1824;38;48
Car;601.2;169.86;640.92;206.07;32.75;007097.txt;157.438496188496;6198.09826163322;1443;37;39
Car;565.62;168.18;597.05;195.91;42.73;007097.txt;170.508391203704;5742.34020736548;864;27;32
Car;553.41;174.72;589.07;201.49;41.83;001865.txt;168.81841563786;5602.6923357614;972;27;36
Car;614.32;171.03;639.39;193.46;51.55;001865.txt;176.525909090909;5945.46205599174;550;22;25
Car;560.62;169.82;591.81;194.3;45.6;006966.txt;173.416129032258;5679.43070759625;775;25;31
Car;615.44;166.74;639.16;187.88;54.57;006966.txt;179.68253968254;6369.17997291509;504;21;24
Car;560.82;153.04;610.62;205.94;27.95;006087.txt;154.268269230769;6220.45841623521;2600;52;50
Car;0;194.9;395.85;373;3.94;002756.txt;112.256438724277;9844.52791006677;70705;179;395
Car;395.45;183.48;516.41;271.52;13.44;002756.txt;133.136739293764;8937.01698981858;10648;88;121
Car;589.08;175.7;648.39;229.78;22.66;002756.txt;145.495605775267;7929.11328891427;3186;54;59
Car;526.15;174.73;577.79;220.4;26.65;002756.txt;150.766943734015;6841.41339577433;2346;46;51
